Docid,Doc
1,https://hbswk.hbs.edu/item/has-the-new-economy-finally-arrived
2,https://www.oecd.org/economic-outlook/
3,https://www.greeneconomycoalition.org/news-and-resources/g7-invest-in-nature-for-a-green-economic-recovery
4,https://www.indiatoday.in/business/story/explained-how-covid-19-battered-indian-economy-during-2nd-wave-1810532-2021-06-03
5,https://smallbusiness.chron.com/two-main-branches-economic-analysis-5214.html
6,https://www.worldbank.org/en/news/feature/2020/06/08/the-global-economic-outlook-during-the-covid-19-pandemic-a-changed-world
7,https://blog.euromonitor.com/five-key-trends-shaping-the-global-economy-in-2021-and-beyond/
8,https://www.investopedia.com/terms/m/macroeconomics.asp
9,https://www.investopedia.com/terms/m/microeconomics.asp
10,https://www.investopedia.com/ask/answers/difference-between-microeconomics-and-macroeconomics/
11,https://www.theverge.com/2011/12/7/2585779/android-10th-anniversary-google-history-pie-oreo-nougat-cupcake
12,https://developer.ibm.com/technologies/mobile/articles/os-android-devel/
13,https://learn.g2.com/android-app-development
14,https://www.codeproject.com/Articles/803619/Article-Introduction-to-Android-4
15,https://www.howtogeek.com/140376/htg-explains-what-android-data-is-backed-up-automatically/
16,https://www.infoq.com/articles/android-face-filter-banuba-sdk/
17,https://www.simplilearn.com/android-app-development-fundamentals-article
18,https://www.infoq.com/articles/ios-android-react-native-design-patterns/
19,https://www.boisestate.edu/oit-itgrc/android-device-manager/
20,https://www.computerworld.com/article/3235946/android-versions-a-living-history-from-1-0-to-today.html
21,https://science.thewire.in/the-sciences/the-lab-leak-hypothesis-for-covid-19-is-becoming-a-conspiracy-theory/
22,https://www.gavi.org/vaccineswork/covid-19-vaccine-race
23,https://www.path.org/articles/what-covax/?gclid=CjwKCAjww-CGBhALEiwAQzWxOr8bGvN56QvjYMr3QKlPIGKlHI_x-OMraRu8FLMTaukDi9N5Q1tSLRoCHnMQAvD_BwE
24,https://www.karger.com/Article/FullText/516200
25,https://www.karger.com/Article/Abstract/515101
26,https://www.nature.com/articles/d41586-020-00502-w
27,https://www.rotary.org/en/rotary-and-coronavirus-impact-frequently-asked-questions?gclid=CjwKCAjww-CGBhALEiwAQzWxOmzpRI0z4cplDBJarSE9Kps7wjiaacElFM6XUDeXu2YFP0PwS7R9dxoCeEwQAvD_BwE
28,https://www.the-scientist.com/news-opinion/spike-protein-deletions-linked-to-covid-19-surges-preprint-68892
29,https://mchandaids.org/index.php/IJMA/article/view/378?gclid=CjwKCAjww-CGBhALEiwAQzWxOtcv5EbPlY1ubOFDnGmdViRMh51WzDGS6nfXX2BVmgVke8HtxfoCrhoCB8oQAvD_BwE
30,https://www.frontiersin.org/articles/10.3389/fmed.2020.00250/full
31,https://www.investopedia.com/news/how-bitcoin-works/
32,https://www.nerdwallet.com/article/investing/what-is-bitcoin
33,https://www.investopedia.com/terms/e/ethereum.asp
34,https://www.investopedia.com/articles/forex/121815/bitcoins-price-history.asp
35,https://www.simplilearn.com/bitcoin-mining-explained-article
36,https://www.forbes.com/sites/martinrivers/2021/06/21/bitcoin-down-trend-continues-amid-inflation-fears-and-chinese-clampdown-but-traders-eye-key-support-level-at-30k/?sh=2e550bdda248
37,https://www.bloomberg.com/opinion/articles/2021-05-17/elon-musk-controls-bitcoin-and-dogecoin-prices-with-pure-magic
38,https://www.simplilearn.com/tutorials/blockchain-tutorial/ethereum-vs-bitcoin?source=frs_recommended_resource_clicked
39,https://money.cnn.com/infographic/technology/what-is-bitcoin/index.html
40,https://www.cnbc.com/2021/06/24/mining-bitcoin-could-get-easier-after-china-crypto-crackdown.html
41,https://www.checkfit.co.uk/introduction-to-football/
42,https://www.footballhistory.org/
43,https://encyclopedia2.thefreedictionary.com/football
44,https://theconversation.com/footballs-gender-problem-from-the-pitch-to-the-boardroom-women-are-still-being-blocked-from-the-top-jobs-106905
45,https://www.radiotimes.com/tv/sport/football/best-football-players-2021/
46,https://www.sportskeeda.com/football/why-chelsea-s-champions-league-triumph-is-possibly-only-start-something-special-brewing-stamford-bridge
47,https://www.newyorker.com/culture/annals-of-inquiry/exactly-how-dangerous-is-football
48,https://www.cs.mcgill.ca/~rwest/wikispeedia/wpcd/wp/f/Football_%2528soccer%2529.htm
49,https://collegedunia.com/social/71-34-iconic-moments-from-football-through-the-ages-every-fan-should-see-in-this-world-cup-season
50,https://www.sportco.io/article/10-greatest-football-legends-957221
